model_name,gpu_type,input_tokens,output_tokens,qps,best_of,use_beam_search,num_prompts,mean_latency,p50_latency,p90_latency,p95_latency,p99_latency,p100_latency
mistralai/Mistral-7B-v0.1,4xA4000,256,128,1.0,1,False,50,2.108120973475743,2.097541276481934,2.2855198954348452,2.295094873540802,2.3059571208734995,2.3087849059375003
mistralai/Mistral-7B-v0.1,4xA4000,256,256,1.0,1,False,50,4.609148791511543,4.604729033482727,4.98306542643113,5.001419093174627,5.033867708456237,5.053764280979522
mistralai/Mistral-7B-v0.1,4xA4000,512,128,1.0,1,False,50,2.3256569327553733,2.331336575502064,2.538877992075868,2.5888706162164454,2.6214321077265774,2.6295534759992734
mistralai/Mistral-7B-v0.1,4xA4000,512,256,1.0,1,False,50,4.910409421955701,4.928583628963679,5.28956435158616,5.403558392316336,5.437301760683767,5.456206876086071
mistralai/Mistral-7B-v0.1,4xA4000,256,128,2.0,1,False,50,2.3784806267218666,2.38930675300071,2.5725638144649565,2.6250360779755284,2.6502138427249156,2.6661110230488703
mistralai/Mistral-7B-v0.1,4xA4000,256,256,2.0,1,False,50,5.447471562095452,5.486851965542883,5.742355382826645,5.780559862643713,5.851451792572625,5.8771415669471025
mistralai/Mistral-7B-v0.1,4xA4000,512,128,2.0,1,False,50,2.8869631132949145,2.8474916320410557,3.412116995092947,3.5110240291047377,3.5805994581698903,3.602965591941029
mistralai/Mistral-7B-v0.1,4xA4000,512,256,2.0,1,False,50,6.151025641972665,6.045712517516222,6.975599145132582,7.086780685937265,7.230649840367259,7.268638306064531
mistralai/Mistral-7B-v0.1,4xA4000,256,128,3.0,1,False,50,2.6403494890104047,2.624726527486928,2.8819999730680137,2.9274066209502054,2.954242212624522,2.9697902869665995
mistralai/Mistral-7B-v0.1,4xA4000,256,256,3.0,1,False,50,6.206923387225252,6.0528855145093985,6.851038926816545,6.904649179475382,6.930409409928834,6.942013465915807
mistralai/Mistral-7B-v0.1,4xA4000,512,128,3.0,1,False,50,3.4018289058399387,3.333078950527124,4.046407984592952,4.141895979613764,4.353701581596397,4.356985912891105
mistralai/Mistral-7B-v0.1,4xA4000,512,256,3.0,1,False,50,7.749264246621169,7.733387563494034,9.031787946564146,9.185237216408131,9.26738562226761,9.27496385294944
mistralai/Mistral-7B-v0.1,4xA4000,256,128,4.0,1,False,50,3.045284802268725,3.005657254019752,3.4259524898487146,3.519971114594955,3.595807417943142,3.6180757120018825
mistralai/Mistral-7B-v0.1,4xA4000,256,256,4.0,1,False,50,7.337013884442858,7.435833887488116,8.312872993585188,8.371560955967288,8.404598935493269,8.414516365039162
mistralai/Mistral-7B-v0.1,4xA4000,512,128,4.0,1,False,50,4.097122546907048,3.8601083880639635,5.141754395258613,5.354715280700475,5.551656574052759,5.567256634938531
mistralai/Mistral-7B-v0.1,4xA4000,512,256,4.0,1,False,50,9.208632570581976,9.197697944997344,10.607577134587336,10.68980249108281,10.7256487783161,10.734781093080528
mistralai/Mistral-7B-v0.1,4xA4000,256,128,5.0,1,False,50,3.4278053238778377,3.326301861961838,3.9746928782435136,4.054381775198271,4.100165042133304,4.115810210001655
mistralai/Mistral-7B-v0.1,4xA4000,256,256,5.0,1,False,50,7.722338187892456,7.7263114175293595,8.623029855138157,8.67374047494377,8.703923775274307,8.711319605004974
mistralai/Mistral-7B-v0.1,4xA4000,512,128,5.0,1,False,50,5.06992812036071,5.045234519988298,6.15348186721094,6.229568558029132,6.335185225890018,6.336400564061478
mistralai/Mistral-7B-v0.1,4xA4000,512,256,5.0,1,False,50,10.022339555723592,10.423989573027939,11.521441363240593,11.580412391398568,11.606372200070181,11.609221993945539
TheBloke/Mistral-7B-Instruct-v0.2-GPTQ,4xA4000,256,128,1.0,1,False,200,1.6015643373248167,1.55154938751366,2.005237278656568,2.184217183408327,2.360978351461235,2.405828456976451
TheBloke/Mistral-7B-Instruct-v0.2-GPTQ,4xA4000,256,256,1.0,1,False,200,4.014184612383833,3.813014858518727,5.896121882321313,6.41247368894401,6.5472442782914735,6.556111666955985
TheBloke/Mistral-7B-Instruct-v0.2-GPTQ,4xA4000,512,128,1.0,1,False,200,1.8198870940244525,1.7014184855506755,2.3047543145134113,2.753490300918929,3.5507939634355696,3.8118015669751912
TheBloke/Mistral-7B-Instruct-v0.2-GPTQ,4xA4000,512,256,1.0,1,False,200,4.2698199868830855,3.823507273045834,6.279512373788748,6.802627579978434,7.156340031314175,7.195589845068753
TheBloke/Mistral-7B-Instruct-v0.2-GPTQ,4xA4000,256,128,2.5,1,False,200,2.7362725903344107,2.6285316164721735,3.779953134793322,3.8648967201355844,3.951133050841744,4.057142167934217
TheBloke/Mistral-7B-Instruct-v0.2-GPTQ,4xA4000,256,256,2.5,1,False,200,9.047748735510394,8.805231299018487,11.42973418738693,11.506815677153645,11.76055822993163,11.777108527952805
TheBloke/Mistral-7B-Instruct-v0.2-GPTQ,4xA4000,512,128,2.5,1,False,200,3.942798799803131,4.042741222016048,5.873290919978172,6.115016046667006,6.516642278631915,6.664927090052515
TheBloke/Mistral-7B-Instruct-v0.2-GPTQ,4xA4000,512,256,2.5,1,False,200,12.80416646611644,12.75648967048619,16.541940040455664,16.890411945909726,17.48266716813203,17.620949575910345
TheBloke/Mistral-7B-Instruct-v0.2-GPTQ,4xA4000,256,128,5.0,1,False,200,6.72103274629626,6.638890319503844,8.6081324307248,8.783113406249322,8.8764619308908,8.895309261977673
TheBloke/Mistral-7B-Instruct-v0.2-GPTQ,4xA4000,256,256,5.0,1,False,200,20.770245875143445,21.967302932520397,25.50249185159337,26.04267171360552,26.306155037434074,26.338426832924597
